2 1.812038 
3 2.784019 
4 3.676979 
5 4.250155 
6 4.790787 
7 5.361453 
8 6.833250 
9 7.329418 
10 7.578250 
11 8.106289 
12 9.377049 
13 10.519540 
14 10.991193 
15 11.502304 
16 11.753425 
17 11.814114 
18 11.663551 
19 11.849806 
20 11.819199 
21 11.849806 
22 11.814114 
23 11.798883 
24 11.788751 
25 12.356436 
26 12.474330 
27 12.508428 
28 12.554184 
29 12.531264 
30 12.423529 
31 12.457350 
32 12.457350 
33 12.164821 
34 12.782123 
35 12.963173 
36 12.548446 
37 12.805970 
38 13.406250 
39 13.074286 
40 13.367089 
41 13.571923 
42 13.360584 
43 13.380117 
44 13.295884 
45 13.174664 
46 13.187320 
47 13.155726 
48 13.168345 
49 13.598811 
50 13.334628 
51 13.270179 
52 13.386641 
53 13.321689 
54 13.406250 
55 13.491892 
56 13.257364 
57 13.525123 
58 13.018492 
59 13.334628 
60 13.238187 
61 13.193657 
62 13.315228 
63 13.386641 
64 13.347594 
